file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION
b01.stp, 82, 82, 82, 82, 82, 82
b02.stp, 90, 83, 90, 88, 83, 90
b03.stp, 140, 138, 140, 138, 138, 140
b04.stp, 59, 59, 59, 59, 59, 59
b05.stp, 64, 61, 64, 61, 61, 64
b06.stp, 127, 124, 127, 124, 124, 127
b07.stp, 111, 111, 111, 111, 111, 111
b08.stp, 104, 104, 104, 104, 104, 104
b09.stp, 223, 220, 222, 222, 220, 223
b10.stp, 98, 86, 98, 91, 86, 98
b11.stp, 90, 88, 90, 88, 88, 90
b12.stp, 174, 174, 174, 174, 174, 174
b13.stp, 175, 170, 175, 171, 170, 175
b14.stp, 237, 236, 237, 236, 236, 237
b15.stp, 323, 318, 323, 318, 318, 323
b16.stp, 137, 127, 137, 137, 127, 137
b17.stp, 134, 131, 133, 133, 131, 134
b18.stp, 224, 218, 219, 224, 219, 224
