file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION, HYBRID_GRASP_WITH_PERTURBATIONS, opt
c01.stp, 88(0.371), 85(0.719), 88(0.357), 88(0.356), 85(0.731), 88(0.740), 85(27.065), 85
c02.stp, 144(0.363), 144(0.774), 144(0.381), 144(0.369), 144(0.744), 144(0.781), 144(25.903), 144
c03.stp, 780(0.348), 754(2.695), 780(0.353), 757(0.408), 754(1.666), 780(1.935), 754(72.377), 754
c04.stp, 1112(0.361), 1080(6.434), 1112(0.360), 1100(0.457), 1080(3.443), 1112(6.417), 1079(103.314), 1079
c05.stp, 1604(0.393), 1580(21.245), 1602(0.407), 1583(0.488), 1580(9.134), 1604(15.511), 1579(179.942), 1579
c06.stp, 60(0.518), 55(0.941), 60(0.470), 60(0.472), 55(0.921), 60(0.898), 55(39.720), 55
c07.stp, 115(0.564), 103(1.082), 115(0.455), 115(0.475), 103(0.926), 115(0.874), 102(41.500), 102
c08.stp, 531(0.513), 513(3.074), 528(0.498), 514(0.517), 513(1.952), 531(2.002), 509(87.800), 509
c09.stp, 728(0.476), 709(7.481), 723(0.494), 716(0.609), 709(5.424), 728(3.320), 708(134.775), 707
c10.stp, 1122(0.505), 1094(19.241), 1112(0.566), 1106(0.645), 1094(11.563), 1122(14.823), 1093(220.713), 1093
c11.stp, 37(0.454), 34(0.912), 35(0.457), 37(0.456), 34(0.921), 37(0.873), 32(102.239), 32
c12.stp, 48(0.463), 46(0.963), 48(0.447), 47(0.463), 46(0.901), 48(0.875), 46(111.271), 46
c13.stp, 273(0.469), 258(2.956), 270(0.509), 272(0.517), 261(1.745), 273(1.782), 258(183.074), 258
c14.stp, 341(0.472), 325(3.865), 334(0.661), 337(0.543), 325(2.678), 341(3.007), 323(187.122), 323
c15.stp, 571(0.522), 556(11.613), 570(0.761), 559(0.613), 556(8.166), 571(6.188), 556(251.799), 556
c16.stp, 12(0.406), 12(0.816), 12(0.415), 12(0.408), 12(0.855), 12(0.882), 11(687.979), 11
c17.stp, 20(0.412), 18(0.849), 20(0.426), 20(0.425), 18(0.845), 20(0.421), 18(930.836), 18
c18.stp, 124(0.412), 117(1.631), 123(0.646), 118(0.498), 117(1.464), 124(1.426), 114(-0.000), 113
c19.stp, 160(0.445), 151(1.781), 158(0.750), 152(0.493), 151(1.333), 160(1.366), 146(-0.000), 146
c20.stp, 268(0.469), 268(1.834), 268(0.704), 268(0.491), 268(1.367), 268(0.878), 267(-0.000), 267
