file, TWO_APPROXIMATION, FAST_LOCAL_SEARCH, LOCAL_VERTEX_INSERTION, LOCAL_VERTEX_ELIMINATION, LOCAL_KEY_PATH_EXCHANGE, LOCAL_KEY_VERTEX_ELIMINATION, HYBRID_GRASP_WITH_PERTURBATIONS, KRUSKAL_CONSTRUCTION, MST_CONSTRUCTION, SHORTEST_PATH_CONSTRUCTION, TWO_APPROX_CONSTRUCTION, opt
e01.stp, 125(65.932), 111(125.143), 125(63.828), 125(64.413), 111(117.560), 125(120.491), 115(356.992), 115(62.914), 139(0.141), 115(62.217), 125(62.283), 111
e02.stp, 255(62.368), 227(125.204), 255(63.033), 255(63.684), 227(121.770), 255(119.095), 235(327.205), 235(62.314), 527(0.098), 236(61.690), 255(62.330), 214
e03.stp, 4242(62.371), 4138(306.676), 4207(62.682), 4118(66.062), 4134(305.348), 4242(300.076), 4056(300.111), 4104(96.134), 4584(0.046), 4122(63.497), 4242(61.755), 4013
e04.stp, 5319(63.458), 5242(307.486), 5267(63.783), 5188(68.264), 5245(300.903), 5319(300.001), 5125(300.001), 5150(164.570), 5644(0.040), 5214(71.159), 5319(63.404), 5101
e05.stp, 8294(66.104), 8274(325.680), 8276(67.995), 8149(72.617), 8275(305.858), 8294(300.000), 8139(300.062), NaN(300.000), 8400(0.034), 8243(112.689), 8294(66.321), 8128
e06.stp, 86(79.868), 73(163.357), 86(81.914), 84(82.182), 73(153.806), 86(160.424), 76(325.651), 76(77.072), 160(0.218), 78(81.815), 86(80.439), 73
e07.stp, 172(79.115), 151(163.422), 172(80.313), 172(81.113), 151(155.091), 172(161.354), 149(300.221), 149(76.329), 254(0.260), 163(80.336), 172(80.979), 145
e08.stp, 2812(78.730), 2731(302.951), 2762(80.747), 2738(83.568), 2730(302.193), 2812(300.373), 2662(300.002), 2691(109.868), 3202(0.065), 2739(80.674), 2812(78.494), 2640
e09.stp, 3817(81.204), 3771(300.231), 3746(82.560), 3704(85.639), 3772(306.103), 3817(300.000), 3625(300.004), 3667(177.958), 4230(0.066), 3745(86.377), 3817(80.732), 3604
e10.stp, 5748(81.883), 5735(304.815), 5709(87.571), 5637(91.237), 5734(314.264), 5748(300.000), 5607(300.006), NaN(300.000), 6039(0.065), 5663(125.306), 5748(83.235), 5600
e11.stp, 39(78.268), 37(164.127), 39(77.460), 39(78.166), 37(156.634), 39(155.374), 37(320.023), 37(76.547), 69(0.695), 38(80.888), 39(76.686), 34
e12.stp, 71(74.970), 68(161.573), 71(77.170), 71(77.966), 68(155.193), 71(154.065), 68(336.758), 68(79.277), 166(0.553), 70(76.039), 71(76.390), 67
e13.stp, 1364(76.020), 1314(303.338), 1340(79.243), 1333(74.471), 1311(302.580), 1364(300.000), 1303(357.355), 1321(103.610), 1667(0.269), 1329(78.915), 1364(77.387), 1280
e14.stp, 1812(75.348), 1784(306.047), 1784(80.976), 1773(75.823), 1784(304.223), 1812(300.077), 1741(300.012), 1756(153.719), 2156(0.189), 1775(83.702), 1812(78.956), 1732
e15.stp, 2863(78.895), 2850(300.132), 2844(87.862), 2806(79.133), 2849(304.773), 2863(300.110), 2790(301.173), NaN(300.000), 3074(0.131), 2823(121.279), 2863(81.070), 2784
e16.stp, 19(65.215), 16(137.934), 19(67.296), 19(62.339), 15(128.385), 19(71.599), 16(334.760), 15(66.518), 100(7.598), 16(71.080), 19(66.111), 15
e17.stp, 27(67.186), 26(133.509), 27(68.040), 27(64.449), 26(127.556), 27(140.828), 26(331.918), 26(66.836), 132(4.056), 26(67.617), 27(66.936), 25
e18.stp, 647(67.653), 594(300.000), 630(79.694), 602(70.510), 601(230.512), 647(290.860), 601(514.632), 609(89.329), 1138(0.943), 634(68.785), 647(66.504), 564
e19.stp, 815(66.967), 784(300.001), 808(82.625), 782(68.722), 783(304.115), 815(300.001), 778(472.261), 795(136.451), 1371(1.001), 805(72.320), 815(66.735), 758
e20.stp, 1358(70.329), 1351(314.857), 1357(103.390), 1351(69.377), 1351(306.477), 1358(300.001), 1344(380.641), NaN(300.001), 1879(0.818), 1355(103.071), 1358(69.734), 1342
